Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
1,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,19,6,0,180.34,113.4,185.42,Southpaw,3.25,40.0,4.2,53.0,0.69,40.0,61.0,0.1
0,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4
0,20,9,0,185.42,83.91,187.96,Orthodox,3.38,43.0,3.03,56.0,0.81,26.0,82.0,0.0,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
0,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,17,4,0,193.04,120.2,203.2,Orthodox,3.56,49.0,1.89,59.0,5.93,53.0,33.0,0.0
0,28,11,0,185.42,77.11,182.88,Southpaw,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,29,13,0,172.72,65.77,177.8,Orthodox,4.7,50.0,3.84,59.0,1.09,52.0,61.0,0.4
1,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1,19,7,1,182.88,83.91,187.96,Southpaw,4.56,45.0,4.24,56.0,1.66,45.0,69.0,0.5
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,14,7,1,177.8,70.31,177.8,Orthodox,4.06,40.0,4.53,61.0,0.63,18.0,74.0,0.2
0,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,15,3,0,172.72,65.77,175.26,Switch,4.19,38.0,6.66,49.0,0.95,23.0,56.0,1.2
0,11,2,0,190.5,83.91,203.2,Orthodox,2.74,50.0,5.66,39.0,4.47,25.0,0.0,0.0,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,17,3,0,193.04,113.4,210.82,Orthodox,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3
1,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,19,7,0,187.96,92.99,190.5,Orthodox,4.59,47.0,3.92,55.0,0.57,33.0,80.0,0.1
1,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,9,5,1,180.34,77.11,187.96,Switch,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,24,11,0,180.34,65.77,190.5,Orthodox,4.18,45.0,4.34,57.0,0.48,50.0,75.0,0.1
1,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2,18,5,0,167.64,56.7,175.26,Orthodox,3.88,37.0,2.91,65.0,0.85,40.0,67.0,0.4
0,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,17,3,0,193.04,113.4,210.82,Orthodox,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,31,8,0,170.18,61.23,177.8,Orthodox,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1
0,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,18,9,0,175.26,77.11,180.34,Southpaw,3.55,41.0,3.23,58.0,0.96,30.0,59.0,0.1
